objectid,fire_year,discovery_doy,fire_size,latitude,longitude
1570710,2012,141,0.25,44.21055556,-85.95444444
1570711,2012,235,0.1,44.21388889,-85.95611111
1570712,2012,132,0.25,44.48083333,-83.84083333
1570713,2012,99,0.1,44.23972222,-83.67083333
1570714,2012,80,0.25,43.41,-85.59083333
1570715,2012,120,0.1,43.67666667,-85.77527778
1570716,2012,263,0.82,43.39611111,-85.69222222
1570717,2012,103,5.8,44.47722222,-83.97777778
1570718,2012,98,4.7,43.92555556,-85.89972222
1570719,2012,80,0.01,44.36638889,-85.82472222
1570720,2012,99,0.5,43.86416667,-85.81111111
1570721,2012,77,1.5,43.93416667,-85.84972222
1570722,2012,77,0.1,43.67,-85.63305556
1570723,2012,132,0.25,44.31277778,-83.39583333
1570724,2012,99,0.1,44.62305556,-84.2775
1570725,2012,74,2.5,44.32222222,-86.04555556
1570726,2012,192,0.1,44.65805556,-84.09305556
1570727,2012,104,0.1,44.26638889,-83.64972222
1570728,2012,167,0.1,44.58916667,-84.12972222
1570729,2012,245,0.2,43.5275,-85.825
1570730,2012,259,0.1,44.05194444,-86.15027778
1570731,2012,227,0.1,44.09416667,-86.41027778
1570732,2012,193,5.0,44.33138889,-83.82166667
1570733,2012,86,3.0,44.63944444,-83.63861111
1570734,2012,114,0.1,44.57694444,-84.08305556
1570735,2012,163,2.5,43.51388889,-85.86027778
1570736,2012,218,1.4,44.45361111,-83.68305556
1570737,2012,115,0.1,43.9725,-86.1575
1570738,2012,243,0.26,44.09027778,-85.98555556
1570739,2012,86,0.5,43.59888889,-85.66222222
1570740,2012,134,0.25,44.51416667,-84.13666667
1570741,2012,141,0.25,44.64777778,-84.23722222
1570742,2012,75,0.25,44.13916667,-85.88444444
1570743,2012,199,0.25,43.38777778,-85.75222222
1570744,2012,97,1.0,43.56777778,-85.85361111
1570745,2012,86,0.1,44.44111111,-83.67583333
1570746,2012,181,0.1,43.50111111,-85.65638889
1570747,2012,93,0.1,43.435,-85.68638889
1570748,2012,276,0.1,43.75666667,-85.72694444
1570749,2012,192,0.2,44.39527778,-83.78527778
1570750,2012,253,0.1,44.14222222,-86.24361111
1570751,2012,205,25.7,44.66,-83.66861111
1570752,2012,86,0.1,43.87333333,-85.8025
1570753,2012,115,0.1,44.48388889,-83.82527778
1570754,2012,207,0.1,43.88694444,-85.80111111
1570755,2012,299,0.1,44.29444444,-85.77277778
1570756,2012,248,1.5,43.85777778,-85.77277778
1570757,2012,114,0.1,44.56027778,-83.76333333
1570758,2012,277,0.1,44.42944444,-83.40111111
1570759,2012,163,0.1,44.25333333,-86.32222222
1570760,2012,95,0.1,43.89361111,-85.85
1570761,2012,164,0.01,44.14222222,-85.98
1570762,2012,102,0.1,43.48222222,-85.62222222
1570763,2012,145,0.1,44.11277778,-86.25138889
1570764,2012,183,0.5,43.89305556,-85.87055556
1570765,2012,136,0.25,44.51694444,-84.13305556
1570766,2012,140,0.4,44.24361111,-85.92888889
1570767,2012,114,1.0,44.23972222,-86.05055556
1570768,2012,95,0.21,44.45638889,-83.95416667
1570769,2012,93,1.3,44.38777778,-83.78694444
1570770,2012,118,0.1,43.50138889,-85.65694444
1570771,2012,115,0.7,44.45027778,-83.87944444
1570772,2012,81,5.1,44.22583333,-85.90083333
1570773,2012,138,0.1,43.89388889,-85.87194444
1570774,2012,118,0.1,44.39333333,-83.48388889
1570775,2012,156,0.1,44.64277778,-83.62527778
1570776,2012,137,1.0,44.22722222,-86.33361111
1570777,2012,114,0.25,43.55638889,-85.66222222
1570778,2012,180,0.1,44.37777778,-83.80472222
1570779,2012,118,0.1,44.00388889,-85.8375
1570780,2012,259,0.1,44.14,-85.91638889
1570781,2012,78,3.0,43.40833333,-85.57861111
1570782,2012,193,0.5,44.42527778,-83.36
1570783,2012,91,0.1,44.28611111,-83.42416667
1570784,2012,80,0.01,43.86555556,-85.84444444
1570785,2012,120,2.6,43.6775,-86.02305556
1570786,2012,149,1.6,44.30638889,-86.28305556
1570787,2012,77,22.8,44.25277778,-85.94972222
1570788,2012,116,0.1,43.47638889,-85.76722222
1570789,2012,180,1.0,44.21166667,-86.24277778
1570790,2012,135,0.1,44.3275,-83.68666667
1570791,2012,312,0.25,44.30916667,-83.39972222
1570792,2012,142,0.21,43.90055556,-85.79222222
1570793,2012,184,0.1,43.89416667,-85.89388889
1570794,2012,79,3.6,43.40916667,-85.67444444
1570795,2012,304,0.1,43.81555556,-85.96277778
1570796,2012,98,0.5,43.98194444,-86.09972222
1570797,2012,140,0.1,43.56833333,-86.0025
1570798,2012,281,0.1,44.29194444,-83.42583333
1570799,2012,257,0.1,44.22472222,-86.0425
1570800,2012,93,1.8,43.67166667,-85.99972222
1570801,2012,114,1.93,44.12888889,-86.0125
1570802,2012,134,1.25,43.75638889,-85.62916667
1570803,2012,184,0.1,43.56916667,-85.88305556
1570804,2012,189,0.25,44.48416667,-83.63583333
1570805,2012,71,3.0,43.43916667,-85.70166667
1570806,2012,71,0.1,43.89861111,-85.79527778
1570807,2012,197,17.0,44.35472222,-83.56722222
1570808,2012,104,0.1,43.73583333,-85.77027778
1570809,2012,150,0.01,44.25305556,-85.81027778
1570810,2012,75,0.1,44.32361111,-83.38583333
1570811,2012,144,0.1,44.17944444,-85.91861111
1570812,2012,147,0.2,44.34138889,-83.63361111
1570813,2012,80,0.75,43.92833333,-85.855
1570814,2012,183,0.1,44.21333333,-85.78416667
1570815,2012,87,1.3,43.40861111,-85.76972222
1570816,2012,77,0.5,44.68138889,-84.21638889
1570817,2012,181,0.5,44.34027778,-83.66666667
1570818,2012,244,0.1,44.28833333,-83.47472222
1570819,2012,99,22.0,44.28166667,-83.75833333
1570820,2012,272,0.1,44.22944444,-86.18305556
1570821,2012,95,1.0,44.24583333,-86.16833333
1570822,2012,97,0.1,43.99611111,-86.08472222
1570823,2012,148,0.1,44.0825,-86.41361111
1570824,2012,178,0.5,43.66361111,-85.67111111
1570825,2012,116,820.0,44.56611111,-84.10333333
1570826,2012,94,0.1,44.50333333,-83.79972222
1570827,2012,74,0.25,44.30722222,-85.69972222
1570828,2012,114,0.25,43.45416667,-85.60694444
1570829,2012,216,0.1,44.3375,-83.80388889
1570830,2012,120,0.25,43.4675,-85.82361111
1570831,2012,275,2.0,44.33805556,-83.37527778
1570832,2012,280,0.1,44.09555556,-86.41944444
1570833,2012,112,1.0,44.44611111,-83.86861111
1570834,2012,71,0.1,43.42833333,-85.75888889
1570835,2012,132,1.0,44.18333333,-86.30138889
1570836,2012,113,0.85,44.18388889,-85.76638889
1570837,2012,101,0.1,44.55527778,-83.83888889
1570838,2012,131,0.5,43.89333333,-85.85111111
1570839,2012,78,0.5,43.47944444,-85.71111111
1570840,2012,10,1.8,44.4075,-83.88361111
1570841,2012,327,2.0,44.23916667,-86.10277778
1570842,2012,86,0.6,44.44916667,-83.76638889
1570843,2012,316,4.0,43.81388889,-85.94972222
1570844,2012,97,0.1,43.53861111,-85.85583333
1570845,2012,135,0.25,44.43527778,-83.47611111
1570846,2012,71,0.1,43.43166667,-85.79527778
1570847,2012,104,0.1,44.15166667,-86.03444444
1570848,2012,114,2.5,44.13833333,-85.94138889
1570849,2012,273,0.1,44.28083333,-83.785
1570850,2012,248,0.6,44.65388889,-83.63388889
1570851,2012,276,0.1,43.95805556,-85.85972222
1570852,2012,88,0.1,44.44611111,-83.86638889
1570853,2012,197,0.1,44.16055556,-86.33027778
1570854,2012,101,0.1,44.48027778,-83.83916667
1570855,2012,147,0.1,44.28527778,-83.80333333
1570856,2012,174,0.1,44.05916667,-85.95083333
1570857,2012,102,0.5,43.44055556,-85.62444444
1570858,2012,103,0.5,43.85611111,-85.98305556
1570859,2012,86,7.1,44.55638889,-83.86222222
1570860,2012,107,0.1,44.45305556,-83.66
1570861,2012,198,0.1,43.88694444,-85.79472222
1570862,2012,93,1.8,43.85166667,-85.94666667
1570863,2012,149,0.1,43.48138889,-85.82055556
1570864,2012,87,12.6,44.45916667,-83.85666667
1570865,2012,184,2.0,44.165,-85.77166667
1570866,2012,86,1.0,44.19305556,-83.6675
1570867,2012,148,0.1,44.08305556,-86.41638889
1570868,2012,302,0.5,44.38861111,-83.785
1570869,2012,211,0.25,44.66916667,-84.11194444
1570870,2012,228,0.1,43.72138889,-85.64166667
1570871,2012,114,0.1,44.5775,-84.07916667
1570872,2012,225,0.1,44.09916667,-86.35583333
1570873,2012,171,0.1,44.20055556,-85.81666667
1570874,2012,132,0.25,43.53277778,-85.76027778
1570875,2012,205,0.1,44.64694444,-83.93333333
1570876,2012,198,0.1,44.21722222,-86.28583333
1570877,2012,221,0.1,44.39972222,-83.80416667
1570878,2012,220,8.1,44.38222222,-83.48305556
1570879,2012,196,1.1,44.2325,-86.325
1570880,2012,276,0.5,44.35916667,-83.61694444
1570881,2012,77,0.5,44.13194444,-85.9675
1570882,2012,135,0.25,44.58055556,-84.0775
1570883,2012,120,2.5,43.84277778,-86.14972222
1570884,2012,78,0.25,43.93472222,-85.85833333
1570885,2012,149,0.1,43.53277778,-85.6825
1570886,2012,99,0.1,44.23222222,-85.8925
1571073,2012,98,53.0,46.28527778,-89.06805556
1571074,2012,139,0.1,46.17611111,-88.85666667
1571075,2012,143,0.1,46.60722222,-89.7625
1571076,2012,104,1.7,46.51416667,-89.12194444
1571077,2012,135,1.1,46.39805556,-89.08666667
1571078,2012,178,0.2,46.20638889,-89.39833333
1571079,2012,146,0.1,46.26638889,-89.26111111
1571080,2012,102,0.1,46.48611111,-88.98083333
1571081,2012,120,0.1,46.24138889,-88.63333333
1571082,2012,150,0.1,46.17222222,-88.98666667
1571083,2012,148,0.1,46.22583333,-89.28694444
1571084,2012,268,0.1,46.13527778,-88.93527778
1571085,2012,229,0.01,46.54194444,-89.93083333
